	average
Mgat4a	0.8437153104811501
Rsph9	0.928150504791349
Csnk2b	0.8884494980206606
Fam207a	0.9753258566274823
Mex3c	0.9542691952628419
Dact3	0.6777037740282303
Il6st	0.9753258566274823
Lnx1	0.8565163048437637
Cux1	0.737081024795609
Psma5	0.9753258566274823
Heg1	0.9753258566274823
Gtpbp4	0.9753258566274823
Phka1	0.9753258566274823
Fam107a	0.9753258566274823
Hspa13	0.9753258566274823
Ubfd1	0.9753258566274823
Zfp961	0.9753258566274823
Cog4	0.9753258566274823
Kdelc2	0.8511772826218174
Slc6a6	0.9753258566274823
Ttc9	0.9753258566274823
Vps13b	0.9753258566274823
Kansl3	0.9561582722218036
Nudt9	0.9753258566274823
Npat	0.9753258566274823
Ogfod3	0.9753258566274823
A530058N18Rik	0.9753258566274823
Rsf1	0.8602160518314342
Gpr116	0.9753258566274823
Efhd1	0.9753258566274823
Cdc42ep1	0.9753258566274823
Nufip1	0.9753258566274823
Pax6	0.9753258566274823
Nedd9	0.9753258566274823
X2310009B15Rik	0.7754792183718444
Ntrk3	0.9753258566274823
Ttll5	0.9701125338417239
Tmem151b	0.9753258566274823
Pxdn	0.9753258566274823
Fbxo22	0.9753258566274823
Qpct	0.9753258566274823
Coprs	0.9753258566274823
Hist1h2ab	0.9753258566274823
X2310003H01Rik	0.9753258566274823
Plekhg5	0.9753258566274823
Tgoln1	0.9753258566274823
Lbr	0.9753258566274823
Ebf2	0.9753258566274823
Mapkap1	0.9753258566274823
Lamp2	0.9753258566274823
Pdgfa	0.9753258566274823
Arhgap12	0.9753258566274823
Rsad1	0.9753258566274823
Zfp41	0.9753258566274823
Paip2	0.9753258566274823
Erlec1	0.8218185529197033
Zfp383	0.9753258566274823
Snord104	0.9753258566274823
Immp1l	0.9753258566274823
Pfkfb2	0.9753258566274823
Rhog	0.9753258566274823
Scaf11	0.9323798766050533
Atp6v1g1	0.9753258566274823
Slc4a1ap	0.9753258566274823
Myh9	0.9753258566274823
Rab1b	0.9753258566274823
Gucy1a3	0.9753258566274823
Gmpr	0.9753258566274823
Alas1	0.9753258566274823
Ampd3	0.9753258566274823
Polr3gl	0.9753258566274823
Ipo8	0.7050153582555652
Pecam1	0.9753258566274823
Crebrf	0.9753258566274823
Maff	0.9753258566274823
Fkbp3	0.6003000369655548
Kcmf1	0.9753258566274823
Casp7	0.9753258566274823
Cables1	0.9753258566274823
Atxn7l1	0.9753258566274823
Dhx36	0.9368166819562642
Cpsf3l	0.9753258566274823
Hs6st1	0.9753258566274823
Pdlim4	0.9753258566274823
Col4a3bp	0.9753258566274823
Nit2	0.9753258566274823
Nbeal2	0.9753258566274823
St6galnac4	0.9753258566274823
Arih2	0.9753258566274823
Olfml3	0.9753258566274823
Phrf1	0.9753258566274823
Pcdha2	0.9523250351287357
X2810025M15Rik	0.8485826613853762
Tbc1d23	0.9753258566274823
Dcc	0.9753258566274823
G6pdx	0.9753258566274823
Zfp955b	0.9753258566274823
Rps15a.ps6	0.9667469457091996
Ppa2	0.9753258566274823
